日期,品牌ID,品牌名称,门店ID,门店名称,城市,平台,平台i,平台门店名称,GMV,商家实收,门店曝光量,门店访问量,门店下单量,无效订单,有效订单,曝光人数,进店人数,下单人数,cpc总费用,cpc曝光量,cpc访问量,商户补贴,平台补贴
2020-03-01,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1798.82,700.31,2334,180,29,0,29,2334,180,24,45.73,1077,67,913,29
2020-03-01,4636,蛙小辣火锅杯（总账号）,8106681,怒江路店,上海,meituan,美团,蛙小辣·美蛙火锅杯（长风大悦城店）,930.74,399.59,1135,98,15,0,15,1135,98,15,48.72,805,50,441,81
2020-03-02,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1687.17,687.28,1573,147,25,0,25,1573,147,23,47.79,734,77,824,22
2020-03-02,4636,蛙小辣火锅杯（总账号）,8106681,怒江路店,上海,meituan,美团,蛙小辣·美蛙火锅杯（长风大悦城店）,704.21,292.77,845,73,12,0,12,845,73,12,1.28,7,2,342,66
2020-03-03,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),2072.36,808.72,1344,135,30,1,29,1344,135,28,46.3,683,63,1054,27
2020-03-04,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1401.49,531.23,1566,137,21,0,21,1566,137,21,46.89,662,57,735,32
2020-03-05,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1085,411.25,1541,137,17,0,17,1541,137,17,48,522,55,561,18
2020-03-06,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1739.49,669.5,1571,148,25,0,25,1571,148,22,41,672,49,887,28
2020-03-06,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,723.57,325.48,1274,114,11,0,11,1274,114,9,46.6,972,66,322,49
2020-03-07,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1221.93,446.19,1632,129,18,0,18,1632,129,17,44.5,652,50,658,16
2020-03-07,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,545.27,232.67,1265,111,9,0,9,1265,111,9,26.09,855,59,256,36
2020-03-08,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1013.08,321.76,1463,135,18,0,18,1463,135,18,44.4,588,48,591,24
2020-03-08,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,639.2,285.77,1224,114,12,0,12,1224,114,12,50,912,64,284,55
2020-03-09,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1227.58,434.38,1325,108,19,0,19,1325,108,17,41.7,514,46,670,25
2020-03-09,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,448.37,186.2,1224,98,7,0,7,1224,98,7,47.08,1014,61,217,26
2020-03-09,4636,蛙小辣火锅杯（总账号）,8184590,五角场店,上海,meituan,美团,蛙小辣火锅杯（五角场店）,883.53,291.23,633,54,15,0,15,633,54,15,23.6,313,23,501,16
2020-03-09,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯(五角场店),601.7,198.36,1546,101,9,0,9,1546,101,9,40.5,473,42,345,36
2020-03-10,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1021.94,346.99,1392,93,17,0,17,1392,93,17,43.7,595,41,571,20
2020-03-10,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,384.1,159.97,1021,100,6,0,6,1021,100,5,15.98,775,59,185,29
2020-03-10,4636,蛙小辣火锅杯（总账号）,8184590,五角场店,上海,meituan,美团,蛙小辣火锅杯（五角场店）,1112.56,366.14,808,61,19,0,19,808,61,19,38.74,507,33,635,45
2020-03-10,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯(五角场店),1367.21,419.6,1171,93,24,0,24,1171,93,22,32.7,389,32,810,57
2020-03-11,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),894.03,348.98,1265,100,13,0,13,1265,100,12,44.7,468,42,455,19
2020-03-11,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,388.73,131.76,701,60,7,0,7,701,60,7,14.25,193,19,218,22
2020-03-11,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯(五角场店),1377.74,486.9,911,85,23,1,22,911,85,22,26.74,138,25,760,63
2020-03-11,4636,蛙小辣火锅杯（总账号）,8184590,五角场店,上海,meituan,美团,蛙小辣火锅杯（五角场店）,968.82,302.12,837,82,19,1,18,837,82,18,37.66,447,34,557,55
2020-03-12,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),2567,1184.02,1322,105,32,0,32,1322,105,30,41.28,431,41,1100,36
2020-03-12,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,640.04,256.65,764,70,11,0,11,764,70,10,20,429,34,312,50
2020-03-13,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1581.86,589.51,1843,158,27,1,26,1843,158,26,46.6,463,43,829,25
2020-03-13,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,583.72,226.66,1074,96,9,0,9,1074,96,9,46.91,792,58,303,58
2020-03-14,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1449.58,568.53,1847,141,22,0,22,1847,141,18,46.7,453,40,735,34
2020-03-14,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,815.11,339.7,821,84,12,0,12,821,84,12,20.86,480,27,388,56
2020-03-15,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),529.41,207.56,1417,106,8,0,8,1417,106,8,44.66,466,40,269,7
2020-03-15,4636,蛙小辣火锅杯（总账号）,8491999,宝山店,上海,meituan,美团,蛙小辣火锅杯（宝山店）,742.35,263.44,1051,75,13,0,13,1051,75,12,44.63,947,46,405,64
2020-03-16,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),1595.19,624.96,978,89,24,0,24,978,89,22,45.11,399,42,810,32
